name,record,template
example_0,0,2x6
example_1,1,2x6
example_2,2,1x12
example_3,3,2x6
example_4,4,4x3+1
example_5,5,2x6
example_6,6,2x6
example_7,7,2x6
example_8,8,2x6
example_9,9,2x6
example_10,10,4x3+1
example_11,11,1x12
example_12,12,4x3+1
example_13,13,1x12
example_14,14,2x6
example_15,15,1x12
example_16,16,1x12
example_17,17,4x3+1
example_18,18,2x6
example_19,19,4x3+1
example_20,20,4x3+1
example_21,21,4x3+1
example_22,22,1x12
example_23,23,2x6
example_24,24,1x12
example_25,25,4x3+1
example_26,26,1x12
example_27,27,4x3+1
example_28,28,2x6
example_29,29,2x6
example_30,30,4x3+1
example_31,31,1x12
example_32,32,2x6
example_33,33,2x6
example_34,34,2x6
example_35,35,4x3+1
example_36,36,4x3+1
example_37,37,1x12
example_38,38,4x3+1
example_39,39,2x6
example_40,40,2x6
example_41,41,4x3+1
example_42,42,2x6
example_43,43,1x12
example_44,44,4x3+1
example_45,45,1x12
example_46,46,1x12
example_47,47,4x3+1
example_48,48,2x6
example_49,49,4x3+1
example_50,50,4x3+1
example_51,51,4x3+1
example_52,52,1x12
example_53,53,4x3+1
example_54,54,2x6
example_55,55,2x6
example_56,56,1x12
example_57,57,4x3+1
example_58,58,2x6
example_59,59,4x3+1
example_60,60,1x12
example_61,61,1x12
example_62,62,4x3+1
example_63,63,1x12
example_64,64,1x12
example_65,65,1x12
example_66,66,4x3+1
example_67,67,2x6
example_68,68,1x12
example_69,69,1x12
example_70,70,2x6
example_71,71,4x3+1
example_72,72,2x6
example_73,73,1x12
example_74,74,2x6
example_75,75,4x3+1
example_76,76,2x6
example_77,77,4x3+1
example_78,78,1x12
example_79,79,4x3+1
example_80,80,2x6
example_81,81,4x3+1
example_82,82,1x12
example_83,83,4x3+1
example_84,84,4x3+1
example_85,85,4x3+1
example_86,86,2x6
example_87,87,2x6
example_88,88,1x12
example_89,89,4x3+1
example_90,90,2x6
example_91,91,2x6
example_92,92,4x3+1
example_93,93,1x12
example_94,94,2x6
example_95,95,1x12
example_96,96,1x12
example_97,97,1x12
example_98,98,1x12
example_99,99,4x3+1
example_100,100,4x3+1
example_101,101,2x6
example_102,102,2x6
example_103,103,1x12
example_104,104,1x12
example_105,105,4x3+1
example_106,106,1x12
example_107,107,1x12
example_108,108,1x12
example_109,109,1x12
example_110,110,4x3+1
example_111,111,4x3+1
example_112,112,4x3+1
example_113,113,2x6
example_114,114,4x3+1
example_115,115,4x3+1
example_116,116,2x6
example_117,117,4x3+1
example_118,118,1x12
example_119,119,1x12
example_120,120,4x3+1
example_121,121,4x3+1
example_122,122,2x6
example_123,123,4x3+1
example_124,124,2x6
example_125,125,2x6
example_126,126,2x6
example_127,127,4x3+1
example_128,128,4x3+1
example_129,129,4x3+1
example_130,130,2x6
example_131,131,1x12
example_132,132,2x6
example_133,133,4x3+1
example_134,134,1x12
example_135,135,2x6
example_136,136,4x3+1
example_137,137,4x3+1
example_138,138,2x6
example_139,139,1x12
example_140,140,1x12
example_141,141,1x12
example_142,142,4x3+1
example_143,143,2x6
example_144,144,1x12
example_145,145,4x3+1
example_146,146,1x12
example_147,147,2x6
example_148,148,1x12
example_149,149,2x6
example_150,150,2x6
example_151,151,1x12
example_152,152,1x12
example_153,153,1x12
example_154,154,4x3+1
example_155,155,1x12
example_156,156,1x12
example_157,157,4x3+1
example_158,158,4x3+1
example_159,159,4x3+1
example_160,160,4x3+1
example_161,161,4x3+1
example_162,162,1x12
example_163,163,1x12
example_164,164,1x12
example_165,165,4x3+1
example_166,166,1x12
example_167,167,4x3+1
example_168,168,4x3+1
example_169,169,1x12
example_170,170,2x6
example_171,171,1x12
example_172,172,2x6
example_173,173,1x12
example_174,174,1x12
example_175,175,4x3+1
example_176,176,1x12
example_177,177,1x12
example_178,178,1x12
example_179,179,4x3+1
example_180,180,1x12
example_181,181,2x6
example_182,182,1x12
example_183,183,4x3+1
example_184,184,1x12
example_185,185,4x3+1
example_186,186,1x12
example_187,187,4x3+1
example_188,188,2x6
example_189,189,4x3+1
example_190,190,1x12
example_191,191,2x6
example_192,192,1x12
example_193,193,1x12
example_194,194,1x12
example_195,195,4x3+1
example_196,196,2x6
example_197,197,2x6
example_198,198,2x6
example_199,199,1x12
example_200,200,1x12
example_201,201,4x3+1
example_202,202,2x6
example_203,203,1x12
example_204,204,4x3+1
example_205,205,1x12
example_206,206,4x3+1
example_207,207,2x6
example_208,208,1x12
example_209,209,2x6
example_210,210,2x6
example_211,211,4x3+1
example_212,212,2x6
example_213,213,4x3+1
example_214,214,1x12
example_215,215,4x3+1
example_216,216,4x3+1
example_217,217,1x12
example_218,218,1x12
example_219,219,4x3+1
example_220,220,1x12
example_221,221,1x12
example_222,222,2x6
example_223,223,4x3+1
example_224,224,2x6
example_225,225,1x12
example_226,226,4x3+1
example_227,227,2x6
example_228,228,4x3+1
example_229,229,1x12
example_230,230,1x12
example_231,231,2x6
example_232,232,4x3+1
example_233,233,2x6
example_234,234,4x3+1
example_235,235,4x3+1
example_236,236,2x6
example_237,237,4x3+1
example_238,238,2x6
example_239,239,2x6
example_240,240,4x3+1
example_241,241,2x6
example_242,242,1x12
example_243,243,4x3+1
example_244,244,4x3+1
example_245,245,1x12
example_246,246,2x6
example_247,247,4x3+1
example_248,248,1x12
example_249,249,2x6
example_250,250,4x3+1
example_251,251,1x12
example_252,252,4x3+1
example_253,253,2x6
example_254,254,1x12
example_255,255,1x12
example_256,256,2x6
example_257,257,2x6
example_258,258,4x3+1
example_259,259,2x6
example_260,260,4x3+1
example_261,261,2x6
example_262,262,4x3+1
example_263,263,4x3+1
example_264,264,4x3+1
example_265,265,1x12
example_266,266,4x3+1
example_267,267,2x6
example_268,268,2x6
example_269,269,4x3+1
example_270,270,2x6
example_271,271,4x3+1
example_272,272,1x12
example_273,273,1x12
example_274,274,4x3+1
example_275,275,1x12
example_276,276,4x3+1
example_277,277,2x6
example_278,278,1x12
example_279,279,1x12
example_280,280,1x12
example_281,281,4x3+1
example_282,282,2x6
example_283,283,2x6
example_284,284,4x3+1
example_285,285,4x3+1
example_286,286,4x3+1
example_287,287,2x6
example_288,288,1x12
example_289,289,2x6
example_290,290,4x3+1
example_291,291,4x3+1
example_292,292,2x6
example_293,293,4x3+1
example_294,294,4x3+1
example_295,295,1x12
example_296,296,1x12
example_297,297,2x6
example_298,298,1x12
example_299,299,2x6
example_300,300,4x3+1
example_301,301,1x12
example_302,302,2x6
example_303,303,4x3+1
example_304,304,2x6
example_305,305,4x3+1
example_306,306,4x3+1
example_307,307,1x12
example_308,308,1x12
example_309,309,2x6
example_310,310,2x6
example_311,311,2x6
example_312,312,2x6
example_313,313,1x12
example_314,314,2x6
example_315,315,1x12
example_316,316,4x3+1
example_317,317,4x3+1
example_318,318,1x12
example_319,319,4x3+1
example_320,320,1x12
example_321,321,1x12
example_322,322,2x6
example_323,323,4x3+1
example_324,324,2x6
example_325,325,2x6
example_326,326,1x12
example_327,327,1x12
example_328,328,1x12
example_329,329,4x3+1
example_330,330,1x12
example_331,331,4x3+1
example_332,332,4x3+1
example_333,333,4x3+1
example_334,334,1x12
example_335,335,1x12
example_336,336,1x12
example_337,337,4x3+1
example_338,338,4x3+1
example_339,339,1x12
example_340,340,2x6
example_341,341,2x6
example_342,342,4x3+1
example_343,343,1x12
example_344,344,1x12
example_345,345,2x6
example_346,346,2x6
example_347,347,4x3+1
example_348,348,1x12
example_349,349,1x12
example_350,350,2x6
example_351,351,2x6
example_352,352,1x12
example_353,353,2x6
example_354,354,1x12
example_355,355,4x3+1
example_356,356,4x3+1
example_357,357,4x3+1
example_358,358,4x3+1
example_359,359,2x6
example_360,360,1x12
example_361,361,1x12
example_362,362,2x6
example_363,363,1x12
example_364,364,1x12
example_365,365,1x12
example_366,366,1x12
example_367,367,4x3+1
example_368,368,2x6
example_369,369,4x3+1
example_370,370,2x6
example_371,371,2x6
example_372,372,4x3+1
example_373,373,1x12
example_374,374,4x3+1
example_375,375,4x3+1
example_376,376,4x3+1
example_377,377,4x3+1
example_378,378,2x6
example_379,379,4x3+1
example_380,380,4x3+1
example_381,381,2x6
example_382,382,4x3+1
example_383,383,2x6
example_384,384,2x6
example_385,385,4x3+1
example_386,386,1x12
example_387,387,1x12
example_388,388,2x6
example_389,389,4x3+1
example_390,390,2x6
example_391,391,1x12
example_392,392,1x12
example_393,393,1x12
example_394,394,2x6
example_395,395,2x6
example_396,396,2x6
example_397,397,2x6
example_398,398,4x3+1
example_399,399,1x12
example_400,400,2x6
example_401,401,4x3+1
example_402,402,1x12
example_403,403,1x12
example_404,404,2x6
example_405,405,1x12
example_406,406,1x12
example_407,407,4x3+1
example_408,408,2x6
example_409,409,2x6
example_410,410,2x6
example_411,411,4x3+1
example_412,412,1x12
example_413,413,2x6
example_414,414,1x12
example_415,415,2x6
example_416,416,4x3+1
example_417,417,1x12
example_418,418,1x12
example_419,419,2x6
example_420,420,1x12
example_421,421,4x3+1
example_422,422,4x3+1
example_423,423,1x12
example_424,424,2x6
example_425,425,2x6
example_426,426,2x6
example_427,427,2x6
example_428,428,2x6
example_429,429,1x12
example_430,430,1x12
example_431,431,4x3+1
example_432,432,2x6
example_433,433,2x6
example_434,434,2x6
example_435,435,2x6
example_436,436,1x12
example_437,437,2x6
example_438,438,1x12
example_439,439,4x3+1
example_440,440,2x6
example_441,441,2x6
example_442,442,1x12
example_443,443,2x6
example_444,444,2x6
example_445,445,4x3+1
example_446,446,4x3+1
example_447,447,1x12
example_448,448,1x12
example_449,449,4x3+1
example_450,450,4x3+1
example_451,451,2x6
example_452,452,4x3+1
example_453,453,1x12
example_454,454,1x12
example_455,455,1x12
example_456,456,1x12
example_457,457,4x3+1
example_458,458,1x12
example_459,459,1x12
example_460,460,2x6
example_461,461,1x12
example_462,462,1x12
example_463,463,2x6
example_464,464,4x3+1
example_465,465,4x3+1
example_466,466,2x6
example_467,467,2x6
example_468,468,2x6
example_469,469,4x3+1
example_470,470,4x3+1
example_471,471,4x3+1
example_472,472,1x12
example_473,473,2x6
example_474,474,1x12
example_475,475,2x6
example_476,476,1x12
example_477,477,2x6
example_478,478,4x3+1
example_479,479,1x12
example_480,480,2x6
example_481,481,1x12
example_482,482,2x6
example_483,483,1x12
example_484,484,1x12
example_485,485,4x3+1
example_486,486,1x12
example_487,487,4x3+1
example_488,488,2x6
example_489,489,4x3+1
example_490,490,1x12
example_491,491,1x12
example_492,492,2x6
example_493,493,2x6
example_494,494,2x6
example_495,495,1x12
example_496,496,4x3+1
example_497,497,1x12
example_498,498,1x12
example_499,499,4x3+1
example_500,500,1x12
example_501,501,1x12
example_502,502,1x12
example_503,503,2x6
example_504,504,2x6
example_505,505,2x6
example_506,506,4x3+1
example_507,507,1x12
example_508,508,1x12
example_509,509,4x3+1
example_510,510,2x6
example_511,511,1x12
example_512,512,4x3+1
example_513,513,2x6
example_514,514,4x3+1
example_515,515,4x3+1
example_516,516,2x6
example_517,517,4x3+1
example_518,518,2x6
example_519,519,4x3+1
example_520,520,2x6
example_521,521,2x6
example_522,522,2x6
example_523,523,4x3+1
example_524,524,4x3+1
example_525,525,1x12
example_526,526,4x3+1
example_527,527,4x3+1
example_528,528,1x12
example_529,529,1x12
example_530,530,2x6
example_531,531,4x3+1
example_532,532,4x3+1
example_533,533,2x6
example_534,534,2x6
example_535,535,1x12
example_536,536,4x3+1
example_537,537,1x12
example_538,538,2x6
example_539,539,4x3+1
example_540,540,1x12
example_541,541,2x6
example_542,542,4x3+1
example_543,543,2x6
example_544,544,4x3+1
example_545,545,4x3+1
example_546,546,2x6
example_547,547,1x12
example_548,548,1x12
example_549,549,4x3+1
example_550,550,1x12
example_551,551,1x12
example_552,552,1x12
example_553,553,1x12
example_554,554,1x12
example_555,555,2x6
example_556,556,1x12
example_557,557,2x6
example_558,558,2x6
example_559,559,1x12
example_560,560,1x12
example_561,561,4x3+1
example_562,562,2x6
example_563,563,2x6
example_564,564,4x3+1
example_565,565,2x6
example_566,566,4x3+1
example_567,567,4x3+1
example_568,568,1x12
example_569,569,4x3+1
example_570,570,1x12
example_571,571,4x3+1
example_572,572,4x3+1
example_573,573,4x3+1
example_574,574,1x12
example_575,575,4x3+1
example_576,576,2x6
example_577,577,1x12
example_578,578,2x6
example_579,579,4x3+1
example_580,580,4x3+1
example_581,581,2x6
example_582,582,2x6
example_583,583,2x6
example_584,584,4x3+1
example_585,585,4x3+1
example_586,586,1x12
example_587,587,1x12
example_588,588,4x3+1
example_589,589,1x12
example_590,590,4x3+1
example_591,591,1x12
example_592,592,2x6
example_593,593,4x3+1
example_594,594,4x3+1
example_595,595,2x6
example_596,596,2x6
example_597,597,1x12
example_598,598,2x6
example_599,599,2x6
example_600,600,2x6
example_601,601,2x6
example_602,602,2x6
example_603,603,2x6
example_604,604,1x12
example_605,605,1x12
example_606,606,4x3+1
example_607,607,1x12
example_608,608,1x12
example_609,609,2x6
example_610,610,4x3+1
example_611,611,2x6
example_612,612,1x12
example_613,613,1x12
example_614,614,2x6
example_615,615,2x6
example_616,616,1x12
example_617,617,2x6
example_618,618,4x3+1
example_619,619,4x3+1
example_620,620,1x12
example_621,621,4x3+1
example_622,622,4x3+1
example_623,623,1x12
example_624,624,2x6
example_625,625,2x6
example_626,626,1x12
example_627,627,4x3+1
example_628,628,2x6
example_629,629,2x6
example_630,630,2x6
example_631,631,1x12
example_632,632,1x12
example_633,633,2x6
example_634,634,1x12
example_635,635,1x12
example_636,636,1x12
example_637,637,4x3+1
example_638,638,4x3+1
example_639,639,1x12
example_640,640,4x3+1
example_641,641,2x6
example_642,642,1x12
example_643,643,4x3+1
example_644,644,4x3+1
example_645,645,4x3+1
example_646,646,2x6
example_647,647,1x12
example_648,648,2x6
example_649,649,2x6
example_650,650,1x12
example_651,651,1x12
example_652,652,4x3+1
example_653,653,4x3+1
example_654,654,2x6
example_655,655,4x3+1
example_656,656,4x3+1
example_657,657,2x6
example_658,658,4x3+1
example_659,659,1x12
example_660,660,4x3+1
example_661,661,4x3+1
example_662,662,4x3+1
example_663,663,2x6
example_664,664,1x12
example_665,665,2x6
example_666,666,2x6
example_667,667,4x3+1
example_668,668,4x3+1
example_669,669,1x12
example_670,670,4x3+1
example_671,671,1x12
example_672,672,1x12
example_673,673,2x6
example_674,674,2x6
example_675,675,2x6
example_676,676,1x12
example_677,677,2x6
example_678,678,2x6
example_679,679,4x3+1
example_680,680,1x12
example_681,681,1x12
example_682,682,1x12
example_683,683,2x6
example_684,684,2x6
example_685,685,1x12
example_686,686,4x3+1
example_687,687,4x3+1
example_688,688,4x3+1
example_689,689,4x3+1
example_690,690,1x12
example_691,691,1x12
example_692,692,1x12
example_693,693,4x3+1
example_694,694,4x3+1
example_695,695,4x3+1
example_696,696,4x3+1
example_697,697,2x6
example_698,698,4x3+1
example_699,699,2x6
example_700,700,1x12
example_701,701,1x12
example_702,702,2x6
example_703,703,4x3+1
example_704,704,2x6
example_705,705,1x12
example_706,706,1x12
example_707,707,2x6
example_708,708,1x12
example_709,709,1x12
example_710,710,2x6
example_711,711,1x12
example_712,712,4x3+1
example_713,713,1x12
example_714,714,2x6
example_715,715,2x6
example_716,716,4x3+1
example_717,717,2x6
example_718,718,1x12
example_719,719,2x6
example_720,720,2x6
example_721,721,4x3+1
example_722,722,2x6
example_723,723,1x12
example_724,724,2x6
example_725,725,1x12
example_726,726,1x12
example_727,727,2x6
example_728,728,4x3+1
example_729,729,1x12
example_730,730,2x6
example_731,731,2x6
example_732,732,1x12
example_733,733,1x12
example_734,734,1x12
example_735,735,2x6
example_736,736,1x12
example_737,737,4x3+1
example_738,738,1x12
example_739,739,1x12
example_740,740,1x12
example_741,741,1x12
example_742,742,4x3+1
example_743,743,4x3+1
example_744,744,4x3+1
example_745,745,1x12
example_746,746,4x3+1
example_747,747,1x12
example_748,748,2x6
example_749,749,2x6
example_750,750,4x3+1
example_751,751,1x12
example_752,752,4x3+1
example_753,753,1x12
example_754,754,1x12
example_755,755,1x12
example_756,756,2x6
example_757,757,1x12
example_758,758,2x6
example_759,759,2x6
example_760,760,4x3+1
example_761,761,2x6
example_762,762,1x12
example_763,763,1x12
example_764,764,1x12
example_765,765,2x6
example_766,766,2x6
example_767,767,2x6
example_768,768,2x6
example_769,769,2x6
example_770,770,4x3+1
example_771,771,4x3+1
example_772,772,2x6
example_773,773,1x12
example_774,774,4x3+1
example_775,775,1x12
example_776,776,1x12
example_777,777,4x3+1
example_778,778,4x3+1
example_779,779,2x6
example_780,780,1x12
example_781,781,2x6
example_782,782,1x12
example_783,783,1x12
example_784,784,1x12
example_785,785,2x6
example_786,786,4x3+1
example_787,787,1x12
example_788,788,1x12
example_789,789,1x12
example_790,790,2x6
example_791,791,2x6
example_792,792,2x6
example_793,793,4x3+1
example_794,794,1x12
example_795,795,1x12
example_796,796,4x3+1
example_797,797,1x12
example_798,798,2x6
example_799,799,1x12
example_800,800,4x3+1
example_801,801,1x12
example_802,802,1x12
example_803,803,2x6
example_804,804,2x6
example_805,805,4x3+1
example_806,806,2x6
example_807,807,4x3+1
example_808,808,1x12
example_809,809,4x3+1
example_810,810,2x6
example_811,811,2x6
example_812,812,4x3+1
example_813,813,2x6
example_814,814,1x12
example_815,815,1x12
example_816,816,2x6
example_817,817,4x3+1
example_818,818,2x6
example_819,819,4x3+1
example_820,820,4x3+1
example_821,821,1x12
example_822,822,2x6
example_823,823,2x6
example_824,824,1x12
example_825,825,2x6
example_826,826,4x3+1
example_827,827,2x6
example_828,828,2x6
example_829,829,1x12
example_830,830,2x6
example_831,831,2x6
example_832,832,2x6
example_833,833,1x12
example_834,834,1x12
example_835,835,1x12
example_836,836,2x6
example_837,837,1x12
example_838,838,4x3+1
example_839,839,4x3+1
example_840,840,4x3+1
example_841,841,1x12
example_842,842,4x3+1
example_843,843,2x6
example_844,844,2x6
example_845,845,1x12
example_846,846,2x6
example_847,847,2x6
example_848,848,1x12
example_849,849,1x12
example_850,850,2x6
example_851,851,2x6
example_852,852,4x3+1
example_853,853,1x12
example_854,854,2x6
example_855,855,2x6
example_856,856,4x3+1
example_857,857,4x3+1
example_858,858,1x12
example_859,859,2x6
example_860,860,1x12
example_861,861,2x6
example_862,862,1x12
example_863,863,4x3+1
example_864,864,2x6
example_865,865,4x3+1
example_866,866,2x6
example_867,867,1x12
example_868,868,1x12
example_869,869,2x6
example_870,870,1x12
example_871,871,4x3+1
example_872,872,2x6
example_873,873,4x3+1
example_874,874,4x3+1
example_875,875,1x12
example_876,876,2x6
example_877,877,4x3+1
example_878,878,2x6
example_879,879,1x12
example_880,880,4x3+1
example_881,881,2x6
example_882,882,1x12
example_883,883,4x3+1
example_884,884,2x6
example_885,885,2x6
example_886,886,4x3+1
example_887,887,1x12
example_888,888,1x12
example_889,889,2x6
example_890,890,4x3+1
example_891,891,1x12
example_892,892,1x12
example_893,893,2x6
example_894,894,2x6
example_895,895,4x3+1
example_896,896,4x3+1
example_897,897,4x3+1
example_898,898,2x6
example_899,899,2x6
example_900,900,1x12
example_901,901,4x3+1
example_902,902,2x6
example_903,903,2x6
example_904,904,2x6
example_905,905,4x3+1
example_906,906,1x12
example_907,907,4x3+1
example_908,908,1x12
example_909,909,1x12
example_910,910,1x12
example_911,911,2x6
example_912,912,2x6
example_913,913,4x3+1
example_914,914,2x6
example_915,915,1x12
example_916,916,4x3+1
example_917,917,1x12
example_918,918,1x12
example_919,919,1x12
example_920,920,2x6
example_921,921,2x6
example_922,922,2x6
example_923,923,4x3+1
example_924,924,1x12
example_925,925,4x3+1
example_926,926,4x3+1
example_927,927,4x3+1
example_928,928,1x12
example_929,929,4x3+1
example_930,930,1x12
example_931,931,2x6
example_932,932,4x3+1
example_933,933,4x3+1
example_934,934,2x6
example_935,935,4x3+1
example_936,936,2x6
example_937,937,2x6
example_938,938,2x6
example_939,939,2x6
example_940,940,4x3+1
example_941,941,4x3+1
example_942,942,1x12
example_943,943,1x12
example_944,944,1x12
example_945,945,4x3+1
example_946,946,1x12
example_947,947,2x6
example_948,948,2x6
example_949,949,4x3+1
example_950,950,2x6
example_951,951,1x12
example_952,952,4x3+1
example_953,953,4x3+1
example_954,954,2x6
example_955,955,2x6
example_956,956,4x3+1
example_957,957,2x6
example_958,958,4x3+1
example_959,959,2x6
example_960,960,1x12
example_961,961,2x6
example_962,962,2x6
example_963,963,4x3+1
example_964,964,4x3+1
example_965,965,2x6
example_966,966,2x6
example_967,967,4x3+1
example_968,968,1x12
example_969,969,2x6
example_970,970,2x6
example_971,971,1x12
example_972,972,4x3+1
example_973,973,2x6
example_974,974,1x12
example_975,975,4x3+1
example_976,976,1x12
example_977,977,1x12
example_978,978,2x6
example_979,979,2x6
example_980,980,2x6
example_981,981,1x12
example_982,982,4x3+1
example_983,983,1x12
example_984,984,4x3+1
example_985,985,1x12
example_986,986,4x3+1
example_987,987,4x3+1
example_988,988,4x3+1
example_989,989,2x6
example_990,990,1x12
example_991,991,2x6
example_992,992,1x12
example_993,993,1x12
example_994,994,4x3+1
example_995,995,1x12
example_996,996,2x6
example_997,997,4x3+1
example_998,998,4x3+1
example_999,999,2x6
